date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019/8/16,2817.57,2840.32,2823.82,2811.8,1485823.5,8.02,0.28,2812.156,2799.782,2859.619,1415698.15,1561888.83,1528393.38
2019/8/19,2835.52,2883.1,2883.1,2829.85,2145466.75,59.28,2.1,2825.778,2805.942,2859.426,1581664.63,1609016.08,1545329.23
2019/8/20,2879.08,2892.08,2880,2875,1896772,-3.1,-0.11,2842.326,2816.186,2858.429,1699186.03,1567569.55,1575512.58
2019/8/21,2875.47,2885.59,2880.33,2872.56,1590196.62,0.33,0.01,2856.61,2827.351,2856.281,1729196.07,1568872.46,1577399.53
2019/8/22,2887.66,2888.5,2883.44,2867.55,1492062.12,3.11,0.11,2870.138,2836.24,2853.585,1722064.2,1568539.11,1579160.44
2019/8/23,2885.15,2902.46,2897.43,2878.74,1591568.25,13.99,0.48,2884.86,2848.508,2851.23,1743213.15,1579455.65,1589067.16
2019/8/26,2851.02,2870.49,2863.57,2849.24,1698953.62,-33.86,-1.17,2880.954,2853.366,2847.358,1653910.52,1617787.57,1610018.91
2019/8/27,2879.52,2919.64,2902.19,2879.41,2081418,38.62,1.35,2885.392,2863.859,2844.85,1690839.72,1695012.87,1639931.58
2019/8/28,2901.63,2905.44,2893.76,2887.01,1830979,-8.43,-0.29,2888.078,2872.344,2842.913,1738996.2,1734096.14,1660954.36
2019/8/29,2896,2898.6,2890.92,2878.59,1786130.88,-2.84,-0.1,2889.574,2879.856,2842.02,1797809.95,1759937.07,1679065.99
2019/8/30,2907.38,2914.58,2886.24,2874.1,1939599.5,-4.68,-0.16,2887.336,2886.098,2842.94,1867416.2,1805314.67,1683601.75
2019/9/2,2886.94,2928.48,2924.11,2883.68,2027868.12,37.87,1.31,2899.444,2890.199,2848.071,1933199.1,1793554.81,1701285.44
2019/9/3,2925.94,2930.15,2930.15,2915.2,1890012.12,6.04,0.21,2905.036,2895.214,2855.7,1894917.92,1792878.82,1680224.19
2019/9/4,2927.75,2957.41,2957.41,2925.88,2254959,27.26,0.93,2917.766,2902.922,2865.137,1979713.92,1859355.06,1714113.76
2019/9/5,2972.66,3015.84,2985.86,2972.66,3054387,28.45,0.96,2936.754,2913.164,2874.702,2233365.15,2015587.55,1792063.33
2019/9/6,2996.62,2999.94,2999.6,2981.6,2168260.25,13.74,0.46,2959.426,2923.381,2885.945,2279097.3,2073256.75,1826356.2
2019/9/9,3023.78,3026.24,3024.74,3005.69,2433777.5,25.14,0.84,2979.552,2939.498,2896.432,2360279.17,2146739.14,1882263.36
2019/9/10,3027.41,3027.41,3021.2,3005.38,2400129.5,-3.54,-0.12,2997.762,2951.399,2907.629,2462302.65,2178610.29,1936811.58
2019/9/11,3029.93,3030.56,3008.81,3004.22,2298373.5,-12.39,-0.41,3008.042,2962.904,2917.624,2470985.55,2225349.74,1979722.94
2019/9/12,3016.63,3033.47,3031.24,3005.19,1969687,22.43,0.74,3017.118,2976.936,2928.396,2254045.55,2243705.35,2001821.21
2019/9/16,3041.92,3042.93,3030.75,3020.05,2218789.5,-0.49,-0.02,3023.348,2991.387,2938.743,2264151.4,2271624.35,2038469.51
2019/9/17,3023.71,3023.71,2978.12,2970.57,2233380.5,-52.63,-1.74,3014.024,2996.788,2943.494,2224072,2292175.59,2042865.2
2019/9/18,2984.08,2996.4,2985.66,2982.4,1680467,7.54,0.25,3006.916,3002.339,2948.777,2080139.5,2271221.08,2032049.95
2019/9/19,2992.92,2999.28,2999.28,2975.4,1626906.12,13.62,0.46,3005.01,3006.526,2954.724,1945846.02,2208415.79,2033885.42
2019/9/20,3004.81,3011.34,3006.45,2996.19,1821453,7.17,0.24,3000.052,3008.585,2960.875,1916199.22,2085122.39,2050354.97
2019/9/23,2998.4,2998.4,2977.08,2960.83,1681394.5,-29.37,-0.98,2989.318,3006.333,2964.857,1808720.22,2036435.81,2054846.28
2019/9/24,2979.48,3002.9,2985.34,2973.76,1639027.62,8.26,0.28,2990.762,3002.393,2970.946,1689849.65,1956960.82,2051849.98
2019/9/25,2977.67,2977.67,2955.43,2955.43,1685431.38,-29.91,-1,2984.716,2995.816,2973.608,1690842.52,1885491.01,2032050.65
2019/9/26,2964.48,2970.04,2929.09,2928.26,1889325.38,-26.34,-0.89,2970.678,2987.844,2975.374,1743326.38,1844586.2,2034967.97
2019/9/27,2929.49,2939.08,2932.17,2920.93,1329057.75,3.08,0.1,2955.822,2977.937,2977.437,1644847.33,1780523.28,2012114.31
